#timestamp [ns], p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
1520531829243709516,0.6732202976,-0.2189528542,1.2673667257,0.9995812603,-0.0044420099,-0.0106290032,-0.0265442451
1520531829252042516,0.6730343332,-0.2189081688,1.2677829343,0.9995565703,-0.0044131452,-0.0119061680,-0.0269338104
1520531829260376516,0.6728273426,-0.2190127967,1.2682169656,0.9995257488,-0.0052334627,-0.0131944750,-0.0273275356
1520531829268709516,0.6725626452,-0.2190512424,1.2686130521,0.9994900028,-0.0051188070,-0.0144551765,-0.0280103550
1520531829277043516,0.6722827107,-0.2191155329,1.2690729380,0.9994556398,-0.0056806664,-0.0153474039,-0.0286463123
1520531829285376516,0.6718580403,-0.2192116104,1.2694762672,0.9994063621,-0.0053689506,-0.0161694643,-0.0299440513
1520531829293709516,0.6715726198,-0.2193983202,1.2699757817,0.9993573779,-0.0056698483,-0.0170468388,-0.0310175659
1520531829302043516,0.6711288182,-0.2196300631,1.2704499607,0.9992958750,-0.0059017584,-0.0178158597,-0.0324887469
1520531829310376516,0.6706201323,-0.2199260281,1.2709140119,0.9992391117,-0.0063582361,-0.0181830937,-0.0339137959
1520531829318709516,0.6701483050,-0.2202500454,1.2713492518,0.9991710870,-0.0067035285,-0.0189396094,-0.0354047005
1520531829327042516,0.6697484243,-0.2205532101,1.2718037126,0.9991069777,-0.0070671529,-0.0197042952,-0.0367020860
1520531829335376516,0.6692989477,-0.2208596122,1.2721924128,0.9990469368,-0.0073764327,-0.0202202255,-0.0379730007
1520531829343709516,0.6690434108,-0.2211994377,1.2726464529,0.9989882829,-0.0076356828,-0.0209307766,-0.0390641713
1520531829352043516,0.6688430501,-0.2214217984,1.2730598931,0.9989432352,-0.0078498487,-0.0217532038,-0.0397188984
1520531829360376516,0.6686034035,-0.2216395312,1.2734243226,0.9989078924,-0.0079086176,-0.0222675354,-0.0403067390
1520531829368709516,0.6682984036,-0.2217907953,1.2736598247,0.9988568906,-0.0075485239,-0.0229706956,-0.0412344404
1520531829377042516,0.6682307823,-0.2219036269,1.2740203104,0.9988308753,-0.0072088280,-0.0237829519,-0.0414642804
1520531829385376516,0.6680976871,-0.2220577312,1.2743361401,0.9988193254,-0.0068546031,-0.0242410803,-0.0415372081
1520531829393709516,0.6679766130,-0.2222023175,1.2746537579,0.9988058652,-0.0065846697,-0.0249192187,-0.0415032333
1520531829402043516,0.6678643629,-0.2222970004,1.2749183385,0.9987924640,-0.0059852939,-0.0256400670,-0.0414774276
1520531829410376516,0.6677141212,-0.2224139083,1.2752527260,0.9987749714,-0.0056211215,-0.0264628057,-0.0414328303
1520531829418709516,0.6675925148,-0.2226403992,1.2757173705,0.9987832071,-0.0058047183,-0.0269210628,-0.0409104726
1520531829427043516,0.6674643589,-0.2226326870,1.2760397750,0.9987731284,-0.0047897900,-0.0277525667,-0.0407319389
